Product ID,Product Name,Category,Base Price,Base Units Sold,Elasticity,Base Revenue,Market Share (%),Brand Loyalty
1,Lifebuoy Handwash,Oral Care,162.33,706,-1.32,114604.98,23.3,0.93
2,Pears Face Wash,Oral Care,79.28,990,-1.04,78487.2,26.65,0.62
3,Pears Face Wash,Beverage,248.42,361,-1.12,89679.62,5.51,0.85
4,Hamam Soap,Personal Care,89.69,935,-1.61,83860.15,18.12,0.71
5,Sunsilk Shampoo,Personal Care,184.14,457,-1.59,84151.98,20.3,0.7
6,Dove Soap,Oral Care,159.22,595,-1.25,94735.9,24.63,0.76
7,Lux Body Wash,Laundry,95.88,975,-1.18,93483,19.81,0.78
8,Brooke Bond Tea,Personal Care,84.8,941,-1.6,79796.8,28.72,0.62
9,Lakme Lipstick,Beauty,386.94,256,-1.34,99056.64,12.62,0.88
10,Sunsilk Shampoo,Oral Care,187.26,401,-1.23,75091.26,17.38,0.64
11,Sunsilk Shampoo,Beauty,33.07,3101,-1.65,102550.07,11.47,0.92
12,Glow & Lovely,Cleaning,217.63,398,-1.08,86616.74,9.62,0.79
13,Lifebuoy Handwash,Beauty,388.44,288,-1.36,111870.72,28.49,0.87
14,Pears Face Wash,Cleaning,370.31,187,-1.12,69247.97,9.9,0.63
15,Lux Body Wash,Cleaning,37.19,2190,-1.15,81446.1,14.72,0.71
16,Pond's Cream,Personal Care,155.57,534,-1.61,83074.38,18.57,0.7
17,Rin Detergent,Cleaning,73.55,1279,-1.18,94070.45,6.86,0.88
18,Pond's Cream,Oral Care,297.02,313,-0.92,92967.26,6.85,0.87
19,Clinic Plus Shampoo,Beverage,156.22,519,-1.3,81078.18,26.58,0.64
20,Wheel Detergent,Laundry,44.15,1819,-0.98,80308.85,13.13,0.71
21,Dove Soap,Beverage,297.25,351,-1.21,104334.75,27.18,0.82
22,Pepsodent,Oral Care,291.03,356,-1.12,103606.68,19.03,0.87
23,Clinic Plus Shampoo,Oral Care,312.97,290,-1.18,90761.3,18.07,0.77
24,Sunsilk Shampoo,Beauty,61,1209,-1.41,73749,20.91,0.61
25,Lakme Lipstick,Oral Care,139.46,714,-1.21,99574.44,27.69,0.78
26,Rin Detergent,Oral Care,307.11,237,-1.4,72785.07,6.92,0.68
27,Pond's Cream,Beauty,130.11,651,-1.3,84701.61,28.24,0.66
28,Lux Body Wash,Oral Care,351.16,275,-0.87,96569,9.66,0.88
29,Axe Body Spray,Beauty,359.17,275,-1.46,98771.75,25.19,0.79
30,Wheel Detergent,Beauty,61.82,1272,-1.27,78635.04,15.68,0.68
31,Glow & Lovely,Oral Care,330.85,286,-1.63,94623.1,5.17,0.9
32,Axe Body Spray,Cleaning,104.4,695,-1.23,72558,13.44,0.64
33,Surf Excel,Personal Care,378.31,221,-1.69,83606.51,17.97,0.71
34,Surf Excel,Beauty,389.28,269,-1.12,104716.32,11.29,0.94
35,Axe Body Spray,Personal Care,208.95,381,-1.48,79609.95,12.12,0.71
36,Hamam Soap,Personal Care,211.02,329,-1.59,69425.58,11.97,0.62
37,Pond's Cream,Laundry,365.14,202,-1.13,73758.28,8.62,0.68
38,Vim Bar,Cleaning,111.98,930,-1.3,104141.4,24.04,0.84
39,Lifebuoy Handwash,Oral Care,110.3,880,-0.82,97064,14.19,0.85
40,Surf Excel,Laundry,223.59,355,-0.92,79374.45,25.88,0.63
41,Pepsodent,Cleaning,141.9,501,-0.96,71091.9,6.02,0.67
42,Surf Excel,Beverage,26.3,3282,-0.83,86316.6,10.66,0.78
43,Close Up Toothpaste,Laundry,265.17,304,-1.08,80611.68,22.27,0.66
44,Rin Detergent,Personal Care,72.26,1075,-1.53,77679.5,7.84,0.72
45,Pepsodent,Beauty,371.38,273,-1.19,101386.74,11.45,0.91
46,Lifebuoy Handwash,Cleaning,230.98,380,-1.19,87772.4,11.05,0.79
47,Vim Bar,Oral Care,55.38,2095,-1.39,116021.1,27.51,0.91
48,Dove Soap,Personal Care,152.7,709,-1.26,108264.3,27.43,0.85
49,Lux Body Wash,Beauty,357.09,295,-1.35,105341.55,21.05,0.87
50,Fair & Lovely,Beverage,23.49,3313,-0.83,77822.37,21.59,0.64
51,Wheel Detergent,Laundry,21.92,3575,-0.99,78364,18.72,0.66
52,Glow & Lovely,Cleaning,105.22,896,-1.03,94277.12,10.93,0.85
53,Axe Body Spray,Beauty,143.65,726,-1.32,104289.9,21.24,0.86
54,TRESemmé Conditioner,Personal Care,235.96,305,-1.31,71967.8,14.19,0.63
55,Hamam Soap,Beverage,120.78,739,-0.82,89256.42,29.33,0.69
56,Pepsodent,Beverage,259.83,398,-1.05,103412.34,17.57,0.88
57,Lifebuoy Handwash,Beverage,239.22,354,-1.19,84683.88,9.88,0.77
58,Lux Body Wash,Personal Care,29.24,3106,-1.3,90819.44,9.43,0.83
59,Pond's Cream,Oral Care,377.37,315,-1.12,118871.55,27.87,0.93
60,Glow & Lovely,Oral Care,387.33,307,-0.95,118910.31,26.33,0.94
61,Wheel Detergent,Oral Care,131.89,699,-1.29,92191.11,26.28,0.73
62,Pears Face Wash,Beverage,231.58,492,-1.1,113937.36,22.4,0.93
63,Pond's Cream,Beverage,236.62,321,-0.79,75955.02,20.38,0.63
64,Lux Body Wash,Oral Care,301.49,341,-1.09,102808.09,22.56,0.84
65,Axe Body Spray,Oral Care,156.61,560,-1.04,87701.6,25.23,0.7
66,Pears Face Wash,Beauty,367.03,250,-1.35,91757.5,17.54,0.78
67,Clinic Plus Shampoo,Personal Care,323.35,315,-1.45,101855.25,22.55,0.83
68,Clinic Plus Shampoo,Personal Care,148.44,528,-1.46,78376.32,7.35,0.73
69,Lux Body Wash,Beauty,239.75,297,-1.76,71205.75,16.64,0.61
70,Surf Excel,Beauty,244.52,264,-1.33,64553.28,5.93,0.61
71,Axe Body Spray,Oral Care,332.59,237,-0.79,78823.83,8.18,0.73
72,Pond's Cream,Personal Care,102.01,861,-1.47,87830.61,7.13,0.82
73,Vim Bar,Personal Care,39.64,2362,-1.23,93629.68,18.52,0.79
74,Fair & Lovely,Laundry,390.82,226,-1.03,88325.32,13.07,0.78
75,Wheel Detergent,Oral Care,322.17,248,-1.25,79898.16,15.97,0.69
76,Rin Detergent,Laundry,85.85,842,-0.87,72285.7,11.26,0.65
77,Close Up Toothpaste,Cleaning,228.71,452,-1.22,103376.92,21.5,0.85
78,Pepsodent,Beverage,252.45,330,-0.67,83308.5,11.19,0.75
79,Rin Detergent,Beauty,155.27,590,-1.45,91609.3,5.36,0.87
80,Axe Body Spray,Beauty,57.18,1573,-1.03,89944.14,16.84,0.77
81,Dove Soap,Cleaning,85.82,1005,-0.99,86249.1,14.96,0.75
82,Lifebuoy Handwash,Personal Care,37.22,2366,-1.24,88062.52,20.65,0.73
83,Pears Face Wash,Beverage,211.19,518,-1.04,109396.42,21.47,0.9
84,Glow & Lovely,Laundry,242.59,458,-1.19,111106.22,19.39,0.93
85,Rin Detergent,Beauty,167.5,577,-1.26,96647.5,16.46,0.83
86,Lux Body Wash,Oral Care,166.72,720,-1.09,120038.4,27.63,0.94
87,Sunsilk Shampoo,Personal Care,94.4,706,-1.6,66646.4,7.52,0.62
88,Surf Excel,Cleaning,141.21,673,-1.26,95034.33,5.58,0.9
89,Vim Bar,Laundry,329.5,229,-1.01,75455.5,7.95,0.7
90,Surf Excel,Laundry,353.44,304,-0.91,107445.76,25.09,0.86
91,Wheel Detergent,Cleaning,127.17,642,-1.66,81643.14,23.77,0.66
92,Close Up Toothpaste,Beverage,315.04,293,-1.24,92306.72,28.27,0.72
93,Wheel Detergent,Cleaning,346.2,268,-1.38,92781.6,23.77,0.75
94,Vim Bar,Personal Care,362.97,270,-1.45,98001.9,25.66,0.78
95,Clinic Plus Shampoo,Oral Care,141.62,737,-1.15,104373.94,14.73,0.91
96,Hamam Soap,Cleaning,381.02,291,-1.42,110876.82,19.34,0.93
97,Clinic Plus Shampoo,Laundry,260.1,328,-0.96,85312.8,12.33,0.76
98,Vim Bar,Beauty,305.9,359,-1.64,109818.1,24.74,0.88
99,Brooke Bond Tea,Laundry,54.66,1499,-1.62,81935.34,6.44,0.77
100,Hamam Soap,Oral Care,357.33,217,-0.75,77540.61,7.93,0.72
101,Pond's Cream,Personal Care,74.34,1410,-1.59,104819.4,20.46,0.87
102,Rin Detergent,Oral Care,332.31,274,-1.06,91052.94,7.03,0.85
103,Wheel Detergent,Beverage,52.24,2080,-0.77,108659.2,14.36,0.95
104,Dove Soap,Laundry,379.95,310,-1.3,117784.5,23.83,0.95
105,Axe Body Spray,Oral Care,162.98,481,-1.51,78393.38,24.43,0.63
106,Sunsilk Shampoo,Personal Care,364.41,206,-1.19,75068.46,17.32,0.64
107,Close Up Toothpaste,Beverage,24.31,3327,-0.75,80879.37,6.41,0.76
108,Surf Excel,Beauty,241.68,445,-1.25,107547.6,14.37,0.94
109,Hamam Soap,Oral Care,128.57,774,-1.09,99513.18,10.59,0.9
110,Lux Body Wash,Laundry,397.33,188,-1,74698.04,18.85,0.63
111,Rin Detergent,Oral Care,388.33,242,-1.19,93975.86,20.73,0.78
112,Pears Face Wash,Personal Care,258.47,395,-1.13,102095.65,27.53,0.8
113,Wheel Detergent,Cleaning,37.27,2418,-1.32,90118.86,28.76,0.7
114,Sunsilk Shampoo,Personal Care,255.65,300,-1.3,76695,9.7,0.7
115,Brooke Bond Tea,Laundry,196.21,439,-1.58,86136.19,19.59,0.72
